list_size,getsizeof
460,4216
461,4216
462,4216
463,4216
464,4216
465,4216
466,4216
467,4216
468,4216
469,4216
470,4216
471,4216
472,4216
473,4216
474,4216
475,4216
476,4216
477,4216
478,4216
479,4216
480,4216
481,4216
482,4216
483,4216
484,4216
485,4216
486,4216
487,4216
488,4216
489,4216
490,4216
491,4216
492,4216
493,4216
494,4216
495,4216
496,4216
497,4216
498,4216
499,4216
500,4216
501,4216
502,4216
503,4216
504,4216
505,4216
506,4216
507,4216
508,4216
509,4216
510,4216
511,4216
512,4216
513,4216
514,4216
515,4216
516,4216
517,4216
518,4216
519,4216
520,4216
521,4792
522,4792
523,4792
524,4792
525,4792
526,4792
527,4792
528,4792
529,4792
530,4792
531,4792
532,4792
533,4792
534,4792
535,4792
536,4792
537,4792
538,4792
539,4792
540,4792
541,4792
542,4792
543,4792
544,4792
545,4792
546,4792
547,4792
548,4792
549,4792
550,4792
551,4792
552,4792
553,4792
554,4792
555,4792
556,4792
557,4792
558,4792
559,4792
560,4792
561,4792
562,4792
563,4792
564,4792
565,4792
566,4792
567,4792
568,4792
569,4792
570,4792
571,4792
572,4792
573,4792
574,4792
575,4792
576,4792
577,4792
578,4792
579,4792
580,4792
581,4792
582,4792
583,4792
584,4792
585,4792
586,4792
587,4792
588,4792
589,4792
590,4792
591,4792
592,4792
593,5432
594,5432
595,5432
596,5432
597,5432
598,5432
599,5432
600,5432
601,5432
602,5432
603,5432
604,5432
605,5432
606,5432
607,5432
608,5432
609,5432
610,5432
611,5432
612,5432
613,5432
614,5432
615,5432
616,5432
617,5432
618,5432
619,5432
620,5432
621,5432
622,5432
623,5432
624,5432
625,5432
626,5432
627,5432
628,5432
629,5432
630,5432
631,5432
632,5432
633,5432
634,5432
635,5432
636,5432
637,5432
638,5432
639,5432
640,5432
641,5432
642,5432
643,5432
644,5432
645,5432
646,5432
647,5432
648,5432
649,5432
650,5432
651,5432
652,5432
653,5432
654,5432
655,5432
656,5432
657,5432
658,5432
659,5432
660,5432
661,5432
662,5432
663,5432
664,5432
665,5432
666,5432
667,5432
668,5432
669,5432
670,5432
671,5432
672,5432
673,6136
674,6136
675,6136
676,6136
677,6136
678,6136
679,6136
680,6136
681,6136
682,6136
683,6136
684,6136
685,6136
686,6136
687,6136
688,6136
689,6136
690,6136
691,6136
692,6136
693,6136
694,6136
695,6136
696,6136
697,6136
698,6136
699,6136
700,6136
701,6136
702,6136
703,6136
704,6136
705,6136
706,6136
707,6136
708,6136
709,6136
710,6136
711,6136
712,6136
713,6136
714,6136
715,6136
716,6136
717,6136
718,6136
719,6136
720,6136
721,6136
722,6136
723,6136
724,6136
725,6136
726,6136
727,6136
728,6136
729,6136
730,6136
731,6136
732,6136
733,6136
734,6136
735,6136
736,6136
737,6136
738,6136
739,6136
740,6136
741,6136
742,6136
743,6136
744,6136
745,6136
746,6136
747,6136
748,6136
749,6136
750,6136
751,6136
752,6136
753,6136
754,6136
755,6136
756,6136
757,6136
758,6136
759,6136
760,6136
761,6936
762,6936
763,6936
764,6936
765,6936
766,6936
767,6936
768,6936
769,6936
770,6936
771,6936
772,6936
773,6936
774,6936
775,6936
776,6936
777,6936
778,6936
779,6936
780,6936
781,6936
782,6936
783,6936
784,6936
785,6936
786,6936
787,6936
788,6936
789,6936
790,6936
791,6936
792,6936
793,6936
794,6936
795,6936
796,6936
797,6936
798,6936
799,6936
800,6936
801,6936
802,6936
803,6936
804,6936
805,6936
806,6936
807,6936
808,6936
809,6936
810,6936
811,6936
812,6936
813,6936
814,6936
815,6936
816,6936
817,6936
818,6936
819,6936
820,6936
821,6936
822,6936
823,6936
824,6936
825,6936
826,6936
827,6936
828,6936
829,6936
830,6936
831,6936
832,6936
833,6936
834,6936
835,6936
836,6936
837,6936
838,6936
839,6936
840,6936
841,6936
842,6936
843,6936
844,6936
845,6936
846,6936
847,6936
848,6936
849,6936
850,6936
851,6936
852,6936
853,6936
854,6936
855,6936
856,6936
857,6936
858,6936
859,6936
860,6936
861,7832
862,7832
863,7832
864,7832
865,7832
866,7832
867,7832
868,7832
869,7832
870,7832
871,7832
872,7832
873,7832
874,7832
875,7832
876,7832
877,7832
878,7832
879,7832
880,7832
881,7832
882,7832
883,7832
884,7832
885,7832
886,7832
887,7832
888,7832
889,7832
890,7832
891,7832
892,7832
893,7832
894,7832
895,7832
896,7832
897,7832
898,7832
899,7832
900,7832
901,7832
902,7832
903,7832
904,7832
905,7832
906,7832
907,7832
908,7832
909,7832
910,7832
911,7832
912,7832
913,7832
914,7832
915,7832
916,7832
917,7832
918,7832
919,7832
920,7832
921,7832
922,7832
923,7832
924,7832
925,7832
926,7832
927,7832
928,7832
929,7832
930,7832
931,7832
932,7832
933,7832
934,7832
935,7832
936,7832
937,7832
938,7832
939,7832
940,7832
941,7832
942,7832
943,7832
944,7832
945,7832
946,7832
947,7832
948,7832
949,7832
950,7832
951,7832
952,7832
953,7832
954,7832
955,7832
956,7832
957,7832
958,7832
959,7832
960,7832
961,7832
962,7832
963,7832
964,7832
965,7832
966,7832
967,7832
968,7832
969,7832
970,7832
971,7832
972,7832
973,8856
974,8856
975,8856
976,8856
977,8856
978,8856
979,8856
980,8856
981,8856
982,8856
983,8856
984,8856
985,8856
986,8856
987,8856
988,8856
989,8856
990,8856
991,8856
992,8856
993,8856
994,8856
995,8856
996,8856
997,8856
998,8856
999,8856
1000,8856
1001,8856
1002,8856
1003,8856
1004,8856
1005,8856
1006,8856
1007,8856
1008,8856
1009,8856
1010,8856
1011,8856
1012,8856
1013,8856
1014,8856
1015,8856
1016,8856
1017,8856
1018,8856
1019,8856
1020,8856
1021,8856
1022,8856
1023,8856
1024,8856
