list_size,getsizeof
0,56
1,88
2,88
3,88
4,88
5,120
6,120
7,120
8,120
9,184
10,184
11,184
12,184
13,184
14,184
15,184
16,184
17,248
18,248
19,248
20,248
21,248
22,248
23,248
24,248
25,312
26,312
27,312
28,312
29,312
30,312
31,312
32,312
33,376
34,376
35,376
36,376
37,376
38,376
39,376
40,376
41,472
42,472
43,472
44,472
45,472
46,472
47,472
48,472
49,472
50,472
51,472
52,472
53,568
54,568
55,568
56,568
57,568
58,568
59,568
60,568
61,568
62,568
63,568
64,568
65,664
66,664
67,664
68,664
69,664
70,664
71,664
72,664
73,664
74,664
75,664
76,664
77,792
78,792
79,792
80,792
81,792
82,792
83,792
84,792
85,792
86,792
87,792
88,792
89,792
90,792
91,792
92,792
93,920
94,920
95,920
96,920
97,920
98,920
99,920
100,920
101,920
102,920
103,920
104,920
105,920
106,920
107,920
108,920
109,1080
110,1080
111,1080
112,1080
113,1080
114,1080
115,1080
116,1080
117,1080
118,1080
119,1080
120,1080
121,1080
122,1080
123,1080
124,1080
125,1080
126,1080
127,1080
128,1080
129,1240
130,1240
131,1240
132,1240
133,1240
134,1240
135,1240
136,1240
137,1240
138,1240
139,1240
140,1240
141,1240
142,1240
143,1240
144,1240
145,1240
146,1240
147,1240
148,1240
149,1432
150,1432
151,1432
152,1432
153,1432
154,1432
155,1432
156,1432
157,1432
158,1432
159,1432
160,1432
161,1432
162,1432
163,1432
164,1432
165,1432
166,1432
167,1432
168,1432
169,1432
170,1432
171,1432
172,1432
173,1656
174,1656
175,1656
176,1656
177,1656
178,1656
179,1656
180,1656
181,1656
182,1656
183,1656
184,1656
185,1656
186,1656
187,1656
188,1656
189,1656
190,1656
191,1656
192,1656
193,1656
194,1656
195,1656
196,1656
197,1656
198,1656
199,1656
200,1656
201,1912
202,1912
203,1912
204,1912
205,1912
206,1912
207,1912
208,1912
209,1912
210,1912
211,1912
212,1912
213,1912
214,1912
215,1912
216,1912
217,1912
218,1912
219,1912
220,1912
221,1912
222,1912
223,1912
224,1912
225,1912
226,1912
227,1912
228,1912
229,1912
230,1912
231,1912
232,1912
233,2200
234,2200
235,2200
236,2200
237,2200
238,2200
239,2200
240,2200
241,2200
242,2200
243,2200
244,2200
245,2200
246,2200
247,2200
248,2200
249,2200
250,2200
251,2200
252,2200
253,2200
254,2200
255,2200
256,2200
257,2200
258,2200
259,2200
260,2200
261,2200
262,2200
263,2200
264,2200
265,2200
266,2200
267,2200
268,2200
269,2520
270,2520
271,2520
272,2520
273,2520
274,2520
275,2520
276,2520
277,2520
278,2520
279,2520
280,2520
281,2520
282,2520
283,2520
284,2520
285,2520
286,2520
287,2520
288,2520
289,2520
290,2520
291,2520
292,2520
293,2520
294,2520
295,2520
296,2520
297,2520
298,2520
299,2520
300,2520
301,2520
302,2520
303,2520
304,2520
305,2520
306,2520
307,2520
308,2520
309,2872
310,2872
311,2872
312,2872
313,2872
314,2872
315,2872
316,2872
317,2872
318,2872
319,2872
320,2872
321,2872
322,2872
323,2872
324,2872
325,2872
326,2872
327,2872
328,2872
329,2872
330,2872
331,2872
332,2872
333,2872
334,2872
335,2872
336,2872
337,2872
338,2872
339,2872
340,2872
341,2872
342,2872
343,2872
344,2872
345,2872
346,2872
347,2872
348,2872
349,2872
350,2872
351,2872
352,2872
353,3256
354,3256
355,3256
356,3256
357,3256
358,3256
359,3256
360,3256
361,3256
362,3256
363,3256
364,3256
365,3256
366,3256
367,3256
368,3256
369,3256
370,3256
371,3256
372,3256
373,3256
374,3256
375,3256
376,3256
377,3256
378,3256
379,3256
380,3256
381,3256
382,3256
383,3256
384,3256
385,3256
386,3256
387,3256
388,3256
389,3256
390,3256
391,3256
392,3256
393,3256
394,3256
395,3256
396,3256
397,3256
398,3256
399,3256
400,3256
401,3704
402,3704
403,3704
404,3704
405,3704
406,3704
407,3704
408,3704
409,3704
410,3704
411,3704
412,3704
413,3704
414,3704
415,3704
416,3704
417,3704
418,3704
419,3704
420,3704
421,3704
422,3704
423,3704
424,3704
425,3704
426,3704
427,3704
428,3704
429,3704
430,3704
431,3704
432,3704
433,3704
434,3704
435,3704
436,3704
437,3704
438,3704
439,3704
440,3704
441,3704
442,3704
443,3704
444,3704
445,3704
446,3704
447,3704
448,3704
449,3704
450,3704
451,3704
452,3704
453,3704
454,3704
455,3704
456,3704
457,4216
458,4216
459,4216
